Date,vis_team,home_team,vis_score,home_score
20170419,MIL,CHN,4,7
20170501,PHI,CHN,10,2
20170502,PHI,CHN,3,8
20170503,PHI,CHN,4,5
20170504,PHI,CHN,4,5
20170505,NYA,CHN,3,2
20170506,NYA,CHN,11,6
20170507,NYA,CHN,5,4
20170516,CIN,CHN,5,9
20170517,CIN,CHN,5,7
20170518,CIN,CHN,5,9
20170519,MIL,CHN,6,3
20170521,MIL,CHN,6,13
20170522,SFN,CHN,6,4
20170523,SFN,CHN,1,4
20170524,SFN,CHN,4,5
20170525,SFN,CHN,1,5
20170602,SLN,CHN,2,3
20170603,SLN,CHN,3,5
20170604,SLN,CHN,6,7
20170605,MIA,CHN,1,3
20170606,MIA,CHN,2,10
20170607,MIA,CHN,6,5
20170608,COL,CHN,4,1
20170609,COL,CHN,5,3
20170610,COL,CHN,9,1
20170611,COL,CHN,5,7
20170619,SDN,CHN,2,3
20170620,SDN,CHN,0,4
20170621,SDN,CHN,3,2
20170704,TBA,CHN,6,5
20170705,TBA,CHN,3,7
20170706,MIL,CHN,11,2
20170707,PIT,CHN,1,6
20170708,PIT,CHN,4,2
20170709,PIT,CHN,14,3
20170721,SLN,CHN,11,4
20170722,SLN,CHN,2,3
20170723,SLN,CHN,3,5
20170724,CHA,CHN,3,1
20170725,CHA,CHN,2,7
20170801,ARI,CHN,4,16
20170802,ARI,CHN,3,0
20170803,ARI,CHN,10,8
20170804,WAS,CHN,4,2
20170805,WAS,CHN,4,7
20170806,WAS,CHN,9,4
20170814,CIN,CHN,5,15
20170815,CIN,CHN,2,1
20170816,CIN,CHN,6,7
20170817,CIN,CHN,13,10
20170818,TOR,CHN,4,7
20170819,TOR,CHN,3,4
20170820,TOR,CHN,5,6
20170828,PIT,CHN,1,6
20170829,PIT,CHN,1,4
20170830,PIT,CHN,3,17
20170831,ATL,CHN,2,6
20170901,ATL,CHN,0,2
20170902,ATL,CHN,12,14
20170903,ATL,CHN,5,1
20170908,MIL,CHN,2,0
20170909,MIL,CHN,15,2
20170910,MIL,CHN,3,1
20170912,NYN,CHN,3,8
20170913,NYN,CHN,5,17
20170914,NYN,CHN,6,14
20170915,SLN,CHN,2,8
20170916,SLN,CHN,1,4
20170917,SLN,CHN,3,4
20170929,CIN,CHN,4,5
20170930,CIN,CHN,0,9
20171001,CIN,CHN,3,1
20170403,PHI,CIN,4,3
20170405,PHI,CIN,0,2
20170406,PHI,CIN,4,7
20170413,MIL,CIN,5,1
20170414,MIL,CIN,10,4
20170415,MIL,CIN,5,7
20170416,MIL,CIN,4,2
20170418,BAL,CIN,3,9
20170419,BAL,CIN,2,0
20170420,BAL,CIN,2,1
20170421,CHN,CIN,6,5
20170422,CHN,CIN,12,8
20170423,CHN,CIN,5,7
20170501,PIT,CIN,3,4
20170502,PIT,CIN,12,3
20170503,PIT,CIN,2,7
20170504,PIT,CIN,2,4
20170505,SFN,CIN,3,13
20170506,SFN,CIN,2,14
20170507,SFN,CIN,0,4
20170508,NYA,CIN,10,4
20170509,NYA,CIN,3,5
20170519,COL,CIN,12,6
20170520,COL,CIN,8,12
20170521,COL,CIN,6,4
20170522,CLE,CIN,1,5
20170523,CLE,CIN,8,7
20170602,ATL,CIN,2,3
20170603,ATL,CIN,6,5
20170604,ATL,CIN,13,8
20170605,SLN,CIN,2,4
20170606,SLN,CIN,1,13
20170607,SLN,CIN,4,6
20170608,SLN,CIN,2,5
20170616,LAN,CIN,3,1
20170617,LAN,CIN,10,2
20170618,LAN,CIN,8,7
20170627,MIL,CIN,6,8
20170628,MIL,CIN,3,4
20170629,MIL,CIN,11,3
20170630,CHN,CIN,0,5
20170701,CHN,CIN,3,5
20170702,CHN,CIN,6,2
20170714,WAS,CIN,5,0
